nama_variabel,status,tahun,nama_turunan_tahun,jumlah,daerah
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,24161,DI YOGYAKARTA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,348653,JAWA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,98312,BANTEN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,3504,BALI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,56196,NUSA TENGGARA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,3775,NUSA TENGGARA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,24474,KALIMANTAN BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,17888,KALIMANTAN TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,30003,KALIMANTAN SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,29729,KALIMANTAN TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,0,KALIMANTAN UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,7412,SULAWESI UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,21089,SULAWESI TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,73890,SULAWESI SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,20616,SULAWESI TENGGARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,9799,GORONTALO
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,9768,SULAWESI BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,7870,MALUKU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,8974,MALUKU UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,2903,PAPUA BARAT
